@relation gestures

@attribute XMax numeric
@attribute XMean numeric
@attribute XPercentile numeric
@attribute ZMax numeric
@attribute ZMean numeric
@attribute ZPercentile numeric
@attribute gestureName {1, L, N, 2}

@data
-3885.428571428571,6077.714285714285,109.0,24573.0,-225.0,20743.5,N
-3152.846153846154,9285.76923076923,-30.0,32767.0,-57.200000000000024,27297.799999999996,N
-1156.9333333333334,8000.133333333333,1456.0,23815.0,965.8000000000003,17543.200000000004,N
-1300.875,9870.25,-168.0,22551.0,-168.0,22551.0,N
-936.0833333333333,5347.5,3294.0,14097.0,3169.5000000000005,14041.5,N
-1355.7000000000003,10941.1,2731.0,28249.0,2643.3,26847.900000000005,N
-1101.2777777777783,5556.388888888889,6354.0,19226.0,3774.600000000004,15507.200000000006,N
-754.75,12363.25,2477.0,20929.0,2477.0,20929.0,N
-1595.3333333333335,10571.0,3179.0,23599.0,3144.2,23006.8,N
-1593.1818181818182,9373.909090909092,2175.0,25876.0,2068.2000000000003,24440.800000000003,N
-2517.0,9082.5,4508.0,23715.0,1947.0,19842.0,N
-2579.272727272727,7341.09090909091,-326.0,23647.0,-453.79999999999956,22357.600000000006,N
-4531.25,6870.75,-458.0,28980.0,-469.09999999999997,22431.600000000024,N
426.30769230769226,9241.384615384615,4199.0,23492.0,3017.7999999999993,21806.8,N
-711.3999999999999,8974.8,1475.0,21574.0,1459.1000000000001,21399.9,N
-551.9000000000002,12885.1,5171.0,28284.0,4818.100000000001,28176.6,N
-2275.909090909091,7140.636363636364,668.0,25067.0,474.40000000000066,24236.200000000004,N
-3904.75,5666.5,2618.0,13568.0,2618.0,13568.0,N
-980.222222222222,8867.444444444445,4446.0,19877.0,4446.0,19877.0,N
-846.1538461538462,8285.615384615385,980.0,15020.0,851.9999999999999,13921.599999999999,2
-1503.1666666666667,7812.166666666667,-681.0,13936.0,-681.0,13936.0,2
-1123.0,9276.1,248.0,15714.0,198.20000000000016,15419.5,2
-1034.6363636363635,8450.09090909091,367.0,15915.0,317.00000000000017,15560.800000000001,2
262.625,8904.0,1433.0,16821.0,1433.0,16821.0,2
400.59999999999997,7171.133333333333,1668.0,13075.0,1664.4,12272.800000000001,2
261.72727272727263,7984.454545454546,3177.0,18497.0,2863.200000000001,18107.800000000003,2
669.3846153846155,9567.384615384615,2332.0,13370.0,2277.2,13312.0,2
440.59999999999997,6969.133333333333,1881.0,14076.0,1876.2,13348.800000000001,2
1335.0,5898.727272727273,2475.0,14743.0,2473.6,14489.400000000001,2
226.66666666666666,7249.222222222223,1624.0,15112.0,1624.0,15112.0,2
665.0,10202.23076923077,2016.0,18299.0,1925.6,17963.4,2
-85.53333333333336,7870.866666666667,1099.0,12444.0,992.2,12051.0,2
-874.0,9206.2,1528.0,13803.0,949.6000000000004,13787.4,2
-304.81818181818176,9018.363636363636,1432.0,12854.0,1282.8000000000006,12845.4,2
-86.16666666666706,7189.416666666666,2711.0,17488.0,2705.9,14996.80000000001,2
-925.5,7958.833333333334,1264.0,16806.0,1090.9000000000005,16082.100000000002,2
233.75,8310.5,538.0,14129.0,538.0,14129.0,2
264.3333333333333,7877.333333333333,411.0,8664.0,411.0,8664.0,2
607.7142857142857,8376.785714285714,1811.0,16779.0,1808.0,14649.0,2
692.8666666666666,9208.333333333334,2299.0,15315.0,2048.8,14356.800000000001,2
883.5,7809.083333333334,3344.0,16340.0,3103.400000000001,14927.600000000006,2
827.6666666666667,3283.166666666667,2207.0,11768.0,2207.0,11768.0,2
553.6875,7887.8125,1945.0,13114.0,1792.4,13069.9,2
-719.4615384615383,7960.0,512.0,11348.0,503.59999999999997,10908.4,2
542.9230769230769,7471.615384615385,1271.0,14057.0,1259.8,13987.0,2
211.30769230769226,9085.76923076923,1311.0,13976.0,1293.0,13630.0,2
-1229.9333333333332,8234.466666666667,1804.0,17043.0,1768.0,16804.2,2
-2166.6363636363635,8862.545454545454,1530.0,15382.0,1437.2000000000003,15028.600000000002,2
288.66666666666663,9895.222222222223,2018.0,17807.0,2018.0,17807.0,2
-443.90000000000015,11020.3,797.0,24252.0,796.0,23392.600000000002,2
801.0,12599.222222222223,2706.0,16580.0,2706.0,16580.0,2
674.1428571428572,7081.071428571428,2169.0,15085.0,2124.0,13788.0,2
812.0714285714287,8616.714285714286,2828.0,14807.0,2354.0,14017.0,2
146.90909090909082,7444.272727272727,3089.0,15359.0,3058.2000000000003,14633.800000000003,2
-775.3571428571428,10111.42857142857,2063.0,15426.0,1675.0,14226.0,2
